,Storm ID,Name,Date,Year,Status,Max Latitude,Max Longitude,Max Windspeed,Max Pressure,Start Date,End Date,Duration,Landfall,Lf Latitude,Lf Longitude,Lf Windspeed,Nearest City,Storm Category,Category Value
2,AL011982,ALBERTO,1982-06-03 18:00:00,1982,HU,24.0N,83.6W,86.3085,985,1982-06-03 06:00:00,1982-06-04 18:00:00,1 days 12:00:00.000000000,,,,,,Category One,1
338,AL011985,ANA,1985-07-19 00:00:00,1985,TS,44.2N,60.3W,69.04679999999999,996,1985-07-16 18:00:00,1985-07-19 00:00:00,2 days 06:00:00.000000000,,,,,,Tropical Storm,0
586,AL011986,ANDREW,1986-06-06 12:00:00,1986,TS,30.7N,78.0W,51.78509999999999,1005,1986-06-06 00:00:00,1986-06-08 18:00:00,2 days 18:00:00.000000000,,,,,,Tropical Storm,0
854,AL011988,ALBERTO,1988-08-07 12:00:00,1988,TS,41.5N,69.0W,40.2773,1002,1988-08-07 12:00:00,1988-08-08 06:00:00,0 days 18:00:00.000000000,,,,,,Tropical Storm,0
1987,AL011991,ANA,1991-07-04 06:00:00,1991,TS,37.1N,67.8W,51.78509999999999,1002,1991-07-04 00:00:00,1991-07-05 12:00:00,1 days 12:00:00.000000000,,,,,,Tropical Storm,0
2693,AL011994,ALBERTO,1994-07-03 12:00:00,1994,TS,29.9N,86.7W,63.292899999999996,993,1994-07-02 00:00:00,1994-07-03 18:00:00,1 days 18:00:00.000000000,L,30.4,-86.5,63.292899999999996,"destin, us",Tropical Storm,0
2944,AL011995,ALLISON,1995-06-04 12:00:00,1995,HU,24.7N,86.2W,74.80069999999999,987,1995-06-03 12:00:00,1995-06-05 18:00:00,2 days 06:00:00.000000000,L,29.9,-84.4,69.04679999999999,"tallahassee, us",Category One,1
3544,AL011996,ARTHUR,1996-06-19 12:00:00,1996,TS,33.2N,78.1W,46.0312,1005,1996-06-19 00:00:00,1996-06-20 06:00:00,1 days 06:00:00.000000000,L,34.7,-76.4,40.2773,"havelock, us",Tropical Storm,0
4087,AL011998,ALEX,1998-07-30 18:00:00,1998,TS,15.1N,46.1W,51.78509999999999,1003,1998-07-29 00:00:00,1998-08-02 12:00:00,4 days 12:00:00.000000000,,,,,,Tropical Storm,0
4887,AL011999,ARLENE,1999-06-13 00:00:00,1999,TS,28.8N,57.5W,57.538999999999994,1006,1999-06-12 12:00:00,1999-06-16 18:00:00,4 days 06:00:00.000000000,,,,,,Tropical Storm,0
5929,AL012001,ALLISON,2001-06-05 18:00:00,2001,TS,28.5N,95.3W,57.538999999999994,1002,2001-06-05 12:00:00,2001-06-06 00:00:00,0 days 12:00:00.000000000,L,28.9,-95.3,51.78509999999999,"freeport, us",Tropical Storm,0
6265,AL012002,ARTHUR,2002-07-16 00:00:00,2002,TS,37.9N,65.1W,57.538999999999994,1000,2002-07-15 06:00:00,2002-07-16 18:00:00,1 days 12:00:00.000000000,,,,,,Tropical Storm,0
6784,AL012003,ANA,2003-04-21 00:00:00,2003,TS,31.4N,66.4W,57.538999999999994,995,2003-04-21 00:00:00,2003-04-24 00:00:00,3 days 00:00:00.000000000,,,,,,Tropical Storm,0
7159,AL012004,ALEX,2004-08-05 00:00:00,2004,HU,38.5N,66.0W,120.83189999999999,957,2004-08-01 18:00:00,2004-08-06 12:00:00,4 days 18:00:00.000000000,,,,,,Category Three,3
8102,AL012005,ARLENE,2005-06-11 00:00:00,2005,TS,26.5N,85.6W,69.04679999999999,990,2005-06-09 06:00:00,2005-06-11 19:00:00,2 days 13:00:00.000000000,L,21.8,-84.5,51.78509999999999,"mantua, cu",Tropical Storm,0
8924,AL012006,ALBERTO,2006-06-12 12:00:00,2006,TS,26.8N,86.3W,69.04679999999999,1000,2006-06-11 00:00:00,2006-06-14 00:00:00,3 days 00:00:00.000000000,L,29.9,-83.7,46.0312,"tallahassee, us",Tropical Storm,0
9505,AL012008,ARTHUR,2008-05-31 06:00:00,2008,TS,17.8N,88.0W,46.0312,1004,2008-05-31 00:00:00,2008-06-01 06:00:00,1 days 06:00:00.000000000,L,17.9,-88.2,46.0312,"san pedro, bz",Tropical Storm,0
10804,AL012010,ALEX,2010-07-01 02:00:00,2010,HU,24.2N,97.7W,109.32409999999999,946,2010-06-26 06:00:00,2010-07-01 18:00:00,5 days 12:00:00.000000000,L,17.5,-88.2,63.292899999999996,"belize, bz",Category Two,2
11344,AL012011,ARLENE,2011-06-30 06:00:00,2011,TS,21.6N,97.0W,63.292899999999996,994,2011-06-28 18:00:00,2011-06-30 18:00:00,2 days 00:00:00.000000000,L,21.6,-97.4,63.292899999999996,"tamiahua, mx",Tropical Storm,0
12030,AL012012,ALBERTO,2012-05-20 00:00:00,2012,TS,32.1N,78.1W,57.538999999999994,995,2012-05-19 12:00:00,2012-05-22 06:00:00,2 days 18:00:00.000000000,,,,,,Tropical Storm,0
12660,AL012013,ANDREA,2013-06-06 12:00:00,2013,TS,27.8N,84.9W,63.292899999999996,995,2013-06-05 18:00:00,2013-06-07 12:00:00,1 days 18:00:00.000000000,L,29.5,-83.4,57.538999999999994,"lake city, us",Tropical Storm,0
12833,AL012014,ARTHUR,2014-07-04 00:00:00,2014,HU,34.0N,77.3W,97.8163,975,2014-07-01 12:00:00,2014-07-05 06:00:00,3 days 18:00:00.000000000,L,34.7,-76.6,97.8163,"havelock, us",Category Two,2
13081,AL012015,ANA,2015-05-09 06:00:00,2015,TS,32.2N,77.5W,57.538999999999994,998,2015-05-09 06:00:00,2015-05-10 12:00:00,1 days 06:00:00.000000000,L,33.8,-78.8,46.0312,"north myrtle beach, us",Tropical Storm,0
13333,AL012016,ALEX,2016-01-14 12:00:00,2016,HU,30.8N,28.7W,86.3085,981,2016-01-14 06:00:00,2016-01-15 13:01:05,1 days 07:01:05.000000000,L,38.7,-27.1,63.292899999999996,"praia da vitoria, pt",Category One,1
